Min Players,Max Players,Play Time,Min Age,Users Rated,Rating Average,Complexity Average,Owned Users,Abstract Games,Children's Games,Customizable Games,Family Games,Party Games,Strategy Games,Thematic Games,Unknown,Wargames,Social Interaction,Strategy and Planning,Conflict Resolution,Exploration,Randomness and Luck,Resource Management,Puzzle Solving,Miscellaneous / Other,Collaboration
2,4,90.0,14,33940,7.99768,2.8801,40664.0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0
1,5,180.0,14,25116,8.06402,2.6855,39007.0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,1
1,4,1000.0,14,16868,8.15063,2.865,30488.0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1
2,4,60.0,14,12100,8.1513,3.2535,24373.0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1,1,0,1
1,4,161.5166094036682,13,19552,8.171373839702383,2.8125,29225.0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0
1,4,120.0,12,7645,8.28552,3.8729,12042.0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0
1,4,180.0,17,7553,8.65548,4.2466,10047.0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1
2,6,120.0,12,56214,7.85549,3.2717,66489.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
2,4,90.0,13,30790,7.90203,3.6677,35520.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0
2,5,20.0,10,15027,8.01935,1.9939,31356.0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1
2,4,120.0,14,14056,8.0456,2.4113,20196.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
1,4,150.0,12,9979,8.12686,3.5838,13474.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
1,5,120.0,14,20512,8.01601,3.3043,35018.0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,1
1,4,155.9662645687646,12,14835,8.104829799920628,3.4583,17634.0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0
1,4,120.0,15,11585,8.09883,3.9969,15513.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1,5,150.0,12,26494,7.86847,3.7427,29701.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
1,4,120.0,12,6055,8.44516,3.854,9087.0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,0,0,1
2,4,120.0,12,18004,7.92707,4.1747,17423.0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0
2,4,45.0,8,53615,7.82838,1.7663,79526.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1,4,90.0,14,9616,8.2006,2.796,16713.0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1
2,6,180.0,14,26165,7.89247,3.698,26710.0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,1,0,0
2,4,120.0,13,3295,8.78927,2.7037,7209.0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0
2,2,45.0,14,26748,7.87373,3.3832,41315.0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
1,4,120.0,14,34179,7.83923,3.7827,52934.0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0,1
2,4,100.0,12,20240,7.86698,3.1876,22601.0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0,0
1,4,150.0,13,9705,8.04333,4.281,13057.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0
1,4,120.0,14,6500,8.21568,4.0191,8963.0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0
2,4,60.0,12,46393,7.76076,2.9828,56264.0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0
1,2,120.0,13,8111,8.09393,3.8788,12561.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
2,7,30.0,10,84371,7.75152,2.329,112410.0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0
1,4,120.0,14,12970,7.95353,3.7658,18082.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
2,4,60.0,12,27893,7.81343,2.2115,36265.0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0
2,4,45.0,10,22327,7.82396,1.9426,34053.0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0
2,4,30.0,8,12197,7.9068,1.2534,10561.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2,4,92.04478742800498,13,32265,7.86219800934524,2.8589,41676.0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0
2,6,240.0,14,18018,7.84578,4.036,19494.0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1,1,0,0
1,4,150.0,14,5781,8.29831,4.6337,10719.0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0
1,4,120.0,12,6693,8.18437,4.5667,10212.0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0
1,4,60.0,14,10899,8.01914,2.7582,16345.0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1
2,5,120.0,12,45929,7.7529,2.462,56283.0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0
1,4,120.0,12,8248,8.07009,3.6651,15192.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
2,6,161.22891414141418,12,19003,7.945803652539677,3.345,22067.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0
1,4,120.0,12,9491,8.03591,3.5015,13144.0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,1
1,5,120.0,13,4373,8.4334,3.7481,8538.0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0
1,4,120.0,14,6134,8.41042,3.2818,12918.0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,1
2,5,150.0,12,26796,7.77011,3.8034,26714.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
1,5,80.0,12,16886,7.83139,2.7715,24145.0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0
2,5,120.0,12,23545,7.75385,3.053,22629.0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0
3,6,240.0,14,18302,7.83602,4.2523,20048.0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,0,0
3,6,180.0,14,32889,7.74213,3.2436,35758.0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,0,0,1
1,8,240.0,14,29347,7.80542,3.3196,43238.0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,1
2,4,90.0,12,18930,7.76181,3.4571,21299.0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0
3,5,120.0,14,15767,7.87643,3.2752,20763.0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,1
2,4,30.0,13,30118,7.71919,2.4222,43570.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2,4,141.3738523071132,12,10954,7.790216491999948,3.8984,13057.0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0
2,4,120.0,12,12604,7.84537,3.2176,15014.0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0,0
1,5,120.0,14,8822,8.08168,2.5666,15716.0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,0,0,1
2,2,43.72675130425131,8,46536,7.683365315714282,1.6367,68860.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0
2,4,80.0,12,15990,7.78792,2.5346,21145.0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0
2,4,120.0,12,14845,7.77385,3.4108,14737.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
2,4,90.0,12,25321,7.69674,3.5102,28348.0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0
2,8,15.0,14,67688,7.6181,1.2885,107682.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,5,45.0,13,26421,7.67197,2.7716,32192.0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0
2,4,120.0,12,14728,7.76238,3.6532,17181.0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0
2,4,120.0,12,9140,7.89058,3.2796,11494.0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0
1,8,120.0,13,17236,7.73378,2.6766,32905.0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1
2,4,30.0,13,78089,7.61898,2.3568,101839.0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0
2,4,45.0,8,102214,7.60608,2.4115,155312.0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,1
2,5,45.0,8,8359,7.9228,2.5775,14808.0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1
2,4,90.0,10,13345,7.77353,2.5925,19380.0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0
3,8,45.0,12,11690,7.79352,1.8291,18890.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
2,5,120.0,13,16277,7.71596,3.0061,18747.0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0
2,4,90.0,14,8865,7.85473,3.2737,12088.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0
2,4,90.0,12,9188,7.86426,2.535,13715.0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0
2,4,180.0,14,7516,7.96996,3.8281,11900.0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,0,0,0
2,4,110.10768615957068,14,12665,7.817179118035717,2.882,16477.0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1,0,0,0
1,4,90.0,8,6450,8.03779,2.3235,12360.0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0
2,2,45.0,14,23061,7.68964,2.4875,38018.0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0
2,4,120.0,13,18250,7.67407,3.8993,23577.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
2,4,66.94516839233346,10,44975,7.703521548630955,2.4776,47743.0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0
1,5,60.0,17,11251,7.78535,2.7031,16119.0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1
1,4,135.0,14,4245,8.21069,4.0482,7957.0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0
2,5,90.0,13,6265,8.02033,2.8,8879.0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0
2,2,20.0,12,35947,7.5841,1.9433,52271.0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0
1,5,120.0,14,22715,7.6883,3.2037,35659.0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,1
1,100,45.0,10,10754,7.75811,1.9094,19320.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
2,4,60.0,12,9719,7.8017,2.5923,13790.0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0
1,6,120.0,13,8871,7.77975,3.902,9636.0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0
2,5,78.15499607771999,10,25234,7.691970792440481,2.5818,30353.0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0
2,5,60.0,8,58608,7.54784,1.9383,83075.0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0
2,5,120.0,13,39287,7.57436,3.0158,53328.0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,1
2,2,60.0,12,14592,7.64175,2.3517,22524.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0
2,4,120.0,12,9935,7.76907,3.8464,12793.0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0
3,4,120.0,13,14297,7.67505,3.1903,14782.0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,0,0,0
1,100,25.0,10,17370,7.61485,1.8154,27392.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1,4,30.0,8,14352,7.63972,1.8916,21684.0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0
2,4,180.0,14,6665,7.89472,4.1996,9928.0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0,0
1,2,60.0,13,20805,7.64569,3.1734,32244.0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1
2,6,120.0,10,11039,7.69301,3.023,11902.0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0
5,10,30.0,13,27134,7.57871,1.7652,38202.0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1
1,4,60.0,14,3191,8.4125,2.9125,7541.0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1
1,4,120.0,8,11559,7.72462,3.0351,19263.0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0
1,5,60.0,10,7275,7.8945,2.1716,14285.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0
3,6,179.87705988455994,14,28650,7.696750950814882,3.716,38623.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
1,4,93.91947913197912,13,22125,7.691434561111114,2.6557,28039.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0
2,6,200.0,14,2556,8.79943,3.4754,5256.0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1
2,2,30.0,12,37225,7.50944,1.4904,54358.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0
2,5,90.0,12,11496,7.65279,3.1236,10985.0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0
2,8,60.0,8,25720,7.55923,2.2737,33786.0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,0
1,4,180.0,13,9770,7.70518,3.9045,12289.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
1,4,90.0,14,14251,7.79775,2.1106,23966.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
2,2,90.9986894627112,12,7987,7.820852102738092,2.6948,10486.0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,0
3,5,120.0,12,27396,7.5393,2.5732,33832.0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,0,0,1
2,4,90.0,12,23729,7.55033,2.6085,35093.0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,1
1,4,45.0,14,26063,7.52781,1.9258,40258.0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0
3,5,180.0,12,7357,7.86069,3.171,11630.0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,1,0,0
1,4,90.0,8,21584,7.51782,2.775,24714.0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0
1,6,120.0,18,8550,7.83219,3.2524,16050.0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,0,0,1
2,4,45.0,8,7039,7.8268,2.0482,12321.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1,5,200.0,14,11146,7.64144,3.5369,12085.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1,5,180.0,16,7042,7.88753,2.7161,15633.0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1
2,4,120.0,13,7245,7.80698,2.8212,15697.0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0
2,3,51.21870117464236,8,11646,7.674171363585856,1.9802,17300.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0
2,4,90.0,12,20255,7.52518,3.0697,26348.0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0
2,2,480.0,14,4539,8.05563,3.8425,8630.0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0
2,2,180.0,12,5391,7.94256,3.2467,8073.0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0
2,2,20.0,13,32442,7.51834,3.2157,35625.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
2,8,60.0,14,16007,7.567,2.1459,21870.0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,1,0,1
2,4,75.0,12,8826,7.70338,2.8635,11403.0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0
2,99,30.0,11,13985,7.5702,1.3413,27538.0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1
2,2,180.0,14,4380,8.03594,2.7685,7464.0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,1
3,7,20.0,8,11775,7.60316,1.0533,19170.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
2,4,60.0,10,12131,7.60703,1.9281,19173.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0
2,2,20.0,12,6075,7.86527,1.8969,14005.0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0
2,4,30.0,10,58709,7.45037,1.7986,82849.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0
2,4,20.0,8,27873,7.48285,1.7318,45672.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,4,120.0,12,8756,7.67286,3.5835,11163.0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,0,0,0
1,5,97.5194957819958,14,6061,7.922259586190472,2.2654,9371.0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0
2,4,90.0,14,8494,7.68838,3.2818,11634.0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0
2,2,60.0,12,4438,7.99688,2.25,8892.0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0
4,4,60.0,10,13298,7.58009,2.344,20236.0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1
2,2,180.0,8,14843,7.63599,3.9993,20398.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
2,5,60.0,8,71611,7.42458,1.8487,97463.0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0
1,4,120.0,14,2860,8.44912,2.8832,5682.0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0
1,5,60.0,14,19785,7.5738,2.4425,30186.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1
2,5,60.0,12,19097,7.4705,2.3498,18460.0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0
2,5,45.0,7,101853,7.41951,1.9126,149337.0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0
1,6,180.0,14,12651,7.67914,2.5067,21612.0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,1
2,4,120.0,12,5727,7.84178,4.3548,7923.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
2,4,60.0,13,9152,7.70972,2.5314,14420.0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0
2,4,90.0,12,10928,7.58339,3.3761,10852.0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0
1,5,60.0,10,6442,7.83699,2.049,13549.0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1
2,5,123.73376234876235,12,14555,7.547855377123016,3.2503,15720.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
2,5,90.0,13,17873,7.51915,2.8262,19628.0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,1,0,0
5,10,45.0,13,18198,7.56802,1.6879,24770.0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
1,5,120.0,14,3990,8.16378,2.4225,7733.0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
2,8,20.0,8,22327,7.46478,1.3196,39966.0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0
3,5,90.0,10,9567,7.59332,3.4558,10386.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0
2,2,60.0,9,7342,7.68786,2.7025,9380.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,6,90.0,13,10189,7.5927,2.9333,8909.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
2,4,60.0,10,29509,7.40569,2.3273,32651.0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1
4,12,20.0,14,16001,7.49663,1.5952,23769.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2,4,60.0,14,5083,7.89349,2.5736,6670.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
1,4,90.0,10,13286,7.52576,2.3827,20000.0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0
3,5,120.0,12,12828,7.53973,3.3737,12921.0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0
2,5,50.0,8,20425,7.43523,2.2453,26632.0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0
2,7,360.0,14,4694,7.88142,4.1638,7037.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2,4,45.0,8,12139,7.55587,1.6714,15704.0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0
2,5,45.0,8,6991,7.7129,1.6531,11050.0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0
2,4,30.0,12,12203,7.60056,1.9022,21315.0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0
2,5,105.9463146739956,12,12968,7.516266788214287,2.9274,14231.0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0
1,5,120.0,14,12926,7.49176,3.3404,15424.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
2,2,120.0,12,8516,7.61092,3.2062,10199.0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0
2,6,120.0,12,3768,8.01413,3.1905,6449.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
2,2,36.6095702075702,10,11047,7.581010275847765,1.7098,18073.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1
2,4,120.0,12,9107,7.56283,3.7353,11914.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0
2,6,180.0,13,8246,7.61088,3.5693,7124.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
2,4,90.0,13,12707,7.47371,3.604,16675.0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0
2,4,60.0,10,14758,7.45022,2.4885,15197.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2,5,60.0,14,8388,7.58809,2.1342,13129.0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
